CODBARRAS;CATEGORIA;NOME PRODUTO;FAMILIA;COD SFA
7896380602995;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD CULT RED;COLORAÇÃO;4102
789638060299;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD CULT RED;COLORAÇÃO;4102
7896380605187;COLORAÇÃO TEMPORÁRIA FASHION;HARD COLOR ECSTASY BLUE GRÁTIS HARD FIX;COLORAÇÃO;4103
7896380602940;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD ECSTASY BLUE;COLORAÇÃO;4103
789638060294;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD ECSTASY BLUE;COLORAÇÃO;4103
7896380605255;COLORAÇÃO TEMPORÁRIA FASHION;HARD COLOR DIESEL GREEN GRÁTIS HARD FIX;COLORAÇÃO;4104
7896380602964;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD DIESEL GREEN;COLORAÇÃO;4104
789638060296;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD DIESEL GREEN;COLORAÇÃO;4104
7896380602971;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD PSY YELLOW;COLORAÇÃO;4105
7896380602988;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD CRAZY ORANGE;COLORAÇÃO;4106
7896380605170;COLORAÇÃO TEMPORÁRIA FASHION;HARD COLOR ULTRA VIOLET GRÁTIS HARD FIX;COLORAÇÃO;4107
7896380602933;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD ULTRA VIOLET;COLORAÇÃO;4107
789638060293;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD ULTRA VIOLET;COLORAÇÃO;4107
7896380603015;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD INSANE PINK;COLORAÇÃO;4108
789638060301;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD INSANE PINK;COLORAÇÃO;4108
7896380605200;COLORAÇÃO TEMPORÁRIA FASHION;HARD COLOR URBAN PURPLE GRÁTIS HARD FIX;COLORAÇÃO;4109
7896390803008;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD COLOR URBAN PURPLE;COLORAÇÃO;4109
7896380603008;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD URBAN PURPLE;COLORAÇÃO;4109
7896380602926;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD POLAR ICE;COLORAÇÃO;4110
789638060292;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD POLAR ICE;COLORAÇÃO;4110
7896380605491;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD TURKISS BLUE;COLORAÇÃO;4111
7896380605811;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD ABSYNTH OCEAN;COLORAÇÃO;4112
7896380607228;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD HEROES BLUE;COLORAÇÃO;4113
789638060722;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD HEROES BLUE;COLORAÇÃO;4113
7896380607259;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD HOT PINK;COLORAÇÃO;4114
789638060725;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD HOT PINK;COLORAÇÃO;4114
7896380607235;COLORAÇÃO TEMPORÁRIA FASHION;KERATON HARD PURE MAGENT;COLORAÇÃO;4115
7896380606337;COLORAÇÃO TEMP FASHION NEON;KERATON NEON URAN BLUE;COLORAÇÃO;4200
789638060633;COLORAÇÃO TEMP FASHION NEON;KERATON NEON URAN BLUE;COLORAÇÃO;4200
7896380606344;COLORAÇÃO TEMP FASHION NEON;KERATON NEON ATOMIC PINK;COLORAÇÃO;4201
789638060634;COLORAÇÃO TEMP FASHION NEON;KERATON NEON ATOMIC PINK;COLORAÇÃO;4201
7896380606306;COLORAÇÃO TEMP FASHION NEON;KERATON NEON RED FUSION;COLORAÇÃO;4202
789638060630;COLORAÇÃO TEMP FASHION NEON;KERATON NEON RED FUSION;COLORAÇÃO;4202
7896380606320;COLORAÇÃO TEMP FASHION NEON;KERATON NEON LUMI LAVANDER;COLORAÇÃO;4203
789638060632;COLORAÇÃO TEMP FASHION NEON;KERATON NEON LUMI LAVANDER;COLORAÇÃO;4203
7896380606290;COLORAÇÃO TEMP FASHION NEON;KERATON NEON KRIPTO GREEN;COLORAÇÃO;4204
7896380606313;COLORAÇÃO TEMP FASHION NEON;KERATON NEON NUCLEAR ORANGE;COLORAÇÃO;4205
7896380606283;COLORAÇÃO TEMP FASHION NEON;KERATON NEON PLUTONIC YELLOW;COLORAÇÃO;4206
7896380607280;COLORAÇÃO TEMP FASHION NEON;KERATON NEON LASER MAGENTA;COLORAÇÃO;4207
7896380607303;COLORAÇÃO TEMP FASHION NEON;KERATON NEON NITRO VIOLET;COLORAÇÃO;4209
789638060730;COLORAÇÃO TEMP FASHION NEON;KERATON NEON NITRO VIOLET;COLORAÇÃO;4209
7896380603473;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN CASTANHO ESCURO;COLORAÇÃO;4450
7896380604562;COLORAÇÃO SEMI PERMANENTE MEN;KIT KERATON MEN CASTANHO ESCURO / SHAMPOO;COLORAÇÃO;4450
789638060347;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN CASTANHO ESCURO;COLORAÇÃO;4450
7896380604579;COLORAÇÃO SEMI PERMANENTE MEN;KIT KERATON MEN CASTANHO MEDIO / SHAMPOO;COLORAÇÃO;4451
7896380603480;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN CASTANHO MEDIO;COLORAÇÃO;4451
789638060348;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN CASTANHO MEDIO;COLORAÇÃO;4451
7896380603497;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN CASTANHO CLARO;COLORAÇÃO;4452
7896380604586;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN CASTANHO CLARO;COLORAÇÃO;4452
789638060349;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN CASTANHO CLARO;COLORAÇÃO;4452
7896380603503;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN LOURO ESCURO;COLORAÇÃO;4453
7896380604593;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN LOURO ESCURO;COLORAÇÃO;4453
789638060350;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN LOURO ESCURO;COLORAÇÃO;4453
7896380603510;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN CINZA NATURAL;COLORAÇÃO;4454
7896380604609;COLORAÇÃO SEMI PERMANENTE MEN;KERATON MEN CINZA NATURAL;COLORAÇÃO;4454
7896380604753;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 1.0;COLORAÇÃO;4500
789638060475;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 1.0;COLORAÇÃO;4500
7896380606573;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 2.0;COLORAÇÃO;4501
789638060657;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 2.0;COLORAÇÃO;4501
7896380604760;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 3.0;COLORAÇÃO;4502
789638060476;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 3.0;COLORAÇÃO;4502
7896380604777;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 4.0;COLORAÇÃO;4503
789638060477;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 4.0;COLORAÇÃO;4503
7896380604784;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 5.0;COLORAÇÃO;4504
789638060478;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 5.0;COLORAÇÃO;4504
7896380604791;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.0;COLORAÇÃO;4505
789638064982;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.0;COLORAÇÃO;4505
789638060479;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.0;COLORAÇÃO;4505
7896380604807;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.0;COLORAÇÃO;4506
789638060480;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.0;COLORAÇÃO;4506
7896380604814;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 8.0;COLORAÇÃO;4507
789638060481;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 8.0;COLORAÇÃO;4507
7896380604821;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 9.0;COLORAÇÃO;4508
789638060482;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 9.0;COLORAÇÃO;4508
7896380604869;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 5.1;COLORAÇÃO;4510
789638060486;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 5.1;COLORAÇÃO;4510
7896380604876;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.1;COLORAÇÃO;4511
7896380604883;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.1;COLORAÇÃO;4512
789638060488;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.1;COLORAÇÃO;4512
7896380606580;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 8.1;COLORAÇÃO;4513
789638060658;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 8.1;COLORAÇÃO;4513
7896380604890;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 9.1;COLORAÇÃO;4514
789638060489;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 9.1;COLORAÇÃO;4514
7896380605484;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.26;COLORAÇÃO;4519
789638060548;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 6.26;COLORAÇÃO;4519
7896380604913;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.3;COLORAÇÃO;4521
789638060491;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.3;COLORAÇÃO;4521
7896380604951;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.47;COLORAÇÃO;4524
789638060495;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.47;COLORAÇÃO;4524
7896380606658;COLORAÇÃO PERMANENTE;KERATON DUAL BLOCK 7.4;COLORAÇÃO;4525
